Pop,Species_current,Clade
1557,E_setacea_setacea,setacea
1557,E_setacea_setacea,setacea
1557,E_setacea_setacea,setacea
1557,E_setacea_setacea,setacea
1559,E_rupestris_rupestris,rupestris_original
1559,E_rupestris_rupestris,rupestris_original
1559,E_rupestris_rupestris,rupestris_original
1559,E_rupestris_rupestris,rupestris_original
1564,E_setacea_setacea,setacea
1564,E_setacea_setacea,setacea
1564,E_setacea_setacea,setacea
1564,E_setacea_setacea,setacea
1565,E_rupestris_dodii,dodii_original
1565,E_rupestris_dodii,dodii_original
1565,E_rupestris_dodii,dodii_original
1565,E_rupestris_dodii,dodii_original
1579,E_rupestris_tricostata,tricostata_original
1579,E_rupestris_tricostata,tricostata_original
1579,E_rupestris_tricostata,tricostata_original
1579,E_rupestris_tricostata,tricostata_original
1589,E_setacea_disticha,fernkloof_setacea
1589,E_setacea_disticha,fernkloof_setacea
1589,E_setacea_disticha,fernkloof_setacea
1594,E_rupestris_tricostata,tricostata_original
1594,E_rupestris_tricostata,tricostata_original
1594,E_rupestris_tricostata,tricostata_original
1594,E_rupestris_tricostata,tricostata_original
1597,E_setacea_disticha,fernkloof_setacea
1597,E_setacea_disticha,fernkloof_setacea
1597,E_setacea_disticha,fernkloof_setacea
1597,E_setacea_disticha,fernkloof_setacea
1600,E_setacea_setacea,fernkloof_setacea
1600,E_setacea_setacea,fernkloof_setacea
1600,E_setacea_setacea,fernkloof_setacea
1600,E_setacea_setacea,fernkloof_setacea
1602,E_rupestris_dodii,dodii_original
1602,E_rupestris_dodii,dodii_original
1602,E_rupestris_dodii,dodii_original
1602,E_rupestris_dodii,dodii_original
1604,E_setacea_uniflora,uniflora
1604,E_setacea_uniflora,uniflora
1604,E_setacea_uniflora,uniflora
1604,E_setacea_uniflora,uniflora
1610,E_setacea_setacea,setacea
1610,E_setacea_setacea,setacea
1610,E_setacea_setacea,setacea
1610,E_setacea_setacea,setacea
1616,E_rupestris_dodii,dodii_original
1616,E_rupestris_dodii,dodii_original
1616,E_rupestris_dodii,dodii_original
1616,E_rupestris_dodii,dodii_original
1617,E_setacea_setacea,setacea
1617,E_setacea_setacea,setacea
1617,E_setacea_setacea,setacea
1617,E_setacea_setacea,setacea
1621,E_rupestris_tricostata,milner_group
1621,E_rupestris_tricostata,milner_group
1621,E_rupestris_tricostata,milner_group
1621,E_rupestris_tricostata,milner_group
1631,E_setacea_scabra,scabra
1631,E_setacea_scabra,scabra
1631,E_setacea_scabra,scabra
1631,E_setacea_scabra,scabra
1632,E_rupestris_tricostata,milner_group
1632,E_rupestris_tricostata,milner_group
1632,E_rupestris_tricostata,milner_group
1632,E_rupestris_tricostata,milner_group
1633,E_setacea_setacea,setacea
1633,E_setacea_setacea,setacea
1633,E_setacea_setacea,setacea
1633,E_setacea_setacea,setacea
1634,E_rupestris_rupestris,rupestris_original
1634,E_rupestris_rupestris,rupestris_original
1634,E_rupestris_rupestris,rupestris_original
1634,E_rupestris_rupestris,rupestris_original
1648,E_rupestris_tricostata,milner_group
1648,E_rupestris_tricostata,milner_group
1648,E_rupestris_tricostata,milner_group
1648,E_rupestris_tricostata,milner_group
1655,E_rupestris_rupestris,rupestris_swartberg
1655,E_rupestris_rupestris,rupestris_swartberg
1655,E_rupestris_rupestris,rupestris_swartberg
1655,E_rupestris_rupestris,rupestris_swartberg
1657,E_rupestris_tricostata,wemmershoek
1657,E_rupestris_tricostata,wemmershoek
1657,E_rupestris_tricostata,wemmershoek
1657,E_rupestris_tricostata,wemmershoek
1661,E_rupestris_tricostata,tricostata_original
1661,E_rupestris_tricostata,tricostata_original
1661,E_rupestris_tricostata,tricostata_original
1661,E_rupestris_tricostata,tricostata_original
2,E_rupestris_rupestris,rupestris_swartberg
2,E_rupestris_rupestris,rupestris_swartberg
2,E_rupestris_rupestris,rupestris_swartberg
2,E_rupestris_rupestris,rupestris_swartberg
